seed,K,rank_constraint,cross_cov_rank,rank_formula,coefficient_rank,factorized_rank,relative_factorization_error,rrr_mse,factored_mse,ols_mse,factorized_loss_gap,rrr_ols_gap
1,24,16,24,16,16,16,1.8775094909033874e-15,5.612940122547681,5.6129401225476805,4.228808905638897,-8.881784197001252e-16,1.3841312169087843
1,24,24,24,24,24,24,1.7644226187401774e-15,4.228808905688349,4.228808905688349,4.228808905638897,0.0,4.945199805206357e-11
1,32,2,24,2,2,2,7.92163982138959e-16,157.39685391033174,157.39685391033174,4.224836304631745,0.0,153.1720176057
1,32,4,24,4,4,4,1.4853208251377567e-15,83.09105011313895,83.09105011313895,4.224836304631745,0.0,78.8662138085072
1,32,8,24,8,8,8,1.2134415431221343e-15,25.18896367298648,25.188963672986482,4.224836304631745,3.552713678800501e-15,20.96412736835473
1,32,16,24,16,16,16,1.794772177321419e-15,5.598640667944948,5.598640667944948,4.224836304631745,0.0,1.3738043633132024
1,32,24,24,24,24,24,1.2620308301848437e-15,4.2248363046432,4.224836304643202,4.224836304631745,1.7763568394002505e-15,1.1454837078872515e-11
1,48,2,24,2,2,2,1.1025879858889263e-15,156.59209106733064,156.59209106733064,4.236699039561066,0.0,152.35539202776957
1,48,4,24,4,4,4,1.7557747764360387e-15,82.55772963954574,82.55772963954576,4.236699039561066,1.4210854715202004e-14,78.32103059998468
1,48,8,24,8,8,8,2.2179589998424917e-15,24.970922456704752,24.970922456704752,4.236699039561066,0.0,20.734223417143685
1,48,16,24,16,16,16,1.8311919236320597e-15,5.617084131249616,5.617084131249613,4.236699039561066,-2.6645352591003757e-15,1.3803850916885496
1,48,24,24,24,24,24,1.8651754624563307e-15,4.236699039553303,4.236699039553302,4.236699039561066,-8.881784197001252e-16,-7.763567566598795e-12
2,2,2,2,2,2,2,2.2300212130116556e-16,24.742867713351032,24.742867713351032,24.742867713291815,0.0,5.921663159824675e-11
2,2,4,2,2,2,2,2.2300212130116556e-16,24.742867713351032,24.742867713351032,24.742867713291815,0.0,5.921663159824675e-11
2,2,8,2,2,2,2,2.2300212130116556e-16,24.742867713351032,24.742867713351032,24.742867713291815,0.0,5.921663159824675e-11
2,2,16,2,2,2,2,2.2300212130116556e-16,24.742867713351032,24.742867713351032,24.742867713291815,0.0,5.921663159824675e-11
2,2,24,2,2,2,2,2.2300212130116556e-16,24.742867713351032,24.742867713351032,24.742867713291815,0.0,5.921663159824675e-11
2,4,2,4,2,2,2,1.771921874166191e-16,461.48573691328085,461.4857369132809,18.80157998273104,5.684341886080802e-14,442.6841569305498
2,4,4,4,4,4,4,8.100821453307085e-16,18.801579982556007,18.801579982556007,18.80157998273104,0.0,-1.7503509752714308e-10
2,4,8,4,4,4,4,8.100821453307085e-16,18.801579982556007,18.801579982556007,18.80157998273104,0.0,-1.7503509752714308e-10
2,4,16,4,4,4,4,8.100821453307085e-16,18.801579982556007,18.801579982556007,18.80157998273104,0.0,-1.7503509752714308e-10
2,4,24,4,4,4,4,8.100821453307085e-16,18.801579982556007,18.801579982556007,18.80157998273104,0.0,-1.7503509752714308e-10
