experiment,method,seed,epochs,batch_size,reg_weight,cov_weight,train_mse,test_mse,train_seconds,embedding_kappa,embedding_effective_rank,embedding_isotropy_error,embedding_min_std,embedding_gaussianity_score,predictive_kappa,predictive_effective_rank,predictive_isotropy_error,predictive_min_std,predictive_gaussianity_score
regularizer_mnist,baseline,0,150,128,0.1,5.0,0.011705613695085049,0.04882471263408661,7.469062212003337,0.013415349647402763,8.994956970214844,1.3479045372903742,0.14737927913665771,0.14029699657856856,0.0036643827334046364,10.448481559753418,1.345213852012109,0.052903126925230026,0.21161221639154199
regularizer_mnist,baseline,1,150,128,0.1,5.0,0.01175455842167139,0.04874890670180321,5.93899683500058,0.016641756519675255,9.58515453338623,1.3299496714739123,0.16257762908935547,0.1322545480988651,0.004302280955016613,10.12218189239502,1.3552279028643195,0.057798657566308975,0.21400636310098967
regularizer_mnist,baseline,2,150,128,0.1,5.0,0.011967235244810581,0.04898834973573685,4.753023991994269,0.02012212574481964,10.909472465515137,1.2817073526639824,0.16304591298103333,0.14054241424609326,0.0043140798807144165,10.837617874145508,1.363708300865141,0.055047471076250076,0.21678577611167385
regularizer_mnist,baseline,3,150,128,0.1,5.0,0.011930341832339764,0.049238502979278564,4.449263541995606,0.016535280272364616,10.111729621887207,1.3042011814992973,0.15093466639518738,0.14122076348094809,0.0033387159928679466,10.61363697052002,1.34289347491755,0.04941601678729057,0.21281768458182815
regularizer_mnist,baseline,4,150,128,0.1,5.0,0.01161831896752119,0.04895372316241264,4.4742941280055675,0.015783846378326416,9.72319507598877,1.3009483261931278,0.15527459979057312,0.137640308558456,0.004770465195178986,10.469099044799805,1.3388812700087853,0.05892369896173477,0.21615466373537934
regularizer_mnist,baseline,5,150,128,0.1,5.0,0.011811084114015102,0.0481238029897213,6.031460440004594,0.014241889119148254,10.12977409362793,1.3326671062389432,0.1458050012588501,0.13678779773191027,0.003820531303063035,10.017577171325684,1.3781527205385378,0.053909458220005035,0.2163672057469618
regularizer_mnist,baseline,6,150,128,0.1,5.0,0.011895482428371906,0.04891791194677353,5.970241883005656,0.01471883524209261,9.352498054504395,1.3539750751191522,0.1569850891828537,0.12934180182483196,0.003161091124638915,10.368759155273438,1.345898307066188,0.04811869189143181,0.21719508080269787
regularizer_mnist,baseline,7,150,128,0.1,5.0,0.011846926063299179,0.048629794269800186,4.283561402000487,0.014579626731574535,9.103116989135742,1.3596313219912237,0.15412981808185577,0.13935120318281796,0.00410393625497818,10.821294784545898,1.357052631555236,0.05441080406308174,0.2128920345986956
regularizer_mnist,baseline,8,150,128,0.1,5.0,0.012109877541661263,0.0490296334028244,4.6045014490009635,0.014059746637940407,9.261381149291992,1.3487216647278744,0.14669208228588104,0.1432246209925192,0.0030266898684203625,10.515607833862305,1.338573155129432,0.04726492241024971,0.2131050454782661
regularizer_mnist,baseline,9,150,128,0.1,5.0,0.011917301453649998,0.049193792045116425,4.31844275900221,0.016755156219005585,10.127267837524414,1.3557688127866974,0.1603487879037857,0.12991447992505667,0.0035849898122251034,10.437784194946289,1.348275453078764,0.05218382552266121,0.2098913462150407
regularizer_mnist,encoder_gaussian,0,150,128,0.1,5.0,0.015977730974555016,0.045074500143527985,10.7633914179969,0.0922534167766571,32.19728088378906,0.4520044603440217,0.3364884853363037,0.008905796204638994,0.0015359646640717983,8.132376670837402,1.6061238995854996,0.04680173471570015,0.1689721069590278
regularizer_mnist,encoder_gaussian,1,150,128,0.1,5.0,0.016008898615837097,0.0450032502412796,10.32319871999789,0.0821407213807106,31.378206253051758,0.4635012251937043,0.32258161902427673,0.008387283037012378,0.0019338229903951287,8.509733200073242,1.5575853217458682,0.050900671631097794,0.17297813612067495
regularizer_mnist,encoder_gaussian,2,150,128,0.1,5.0,0.016275983303785324,0.04504263401031494,10.249693136000133,0.08444376289844513,31.28348731994629,0.4544780466451164,0.3273513615131378,0.008575881475975454,0.0024551639799028635,8.500348091125488,1.5952666504597564,0.05753622204065323,0.17158682442881004
regularizer_mnist,encoder_gaussian,3,150,128,0.1,5.0,0.016258511692285538,0.04522815719246864,10.774007959997107,0.07651761919260025,30.53339195251465,0.45263642756356914,0.3174702823162079,0.007949086945257443,0.0021571482066065073,9.034770011901855,1.566443155849945,0.052752889692783356,0.16703657488146162
regularizer_mnist,encoder_gaussian,4,150,128,0.1,5.0,0.016061611473560333,0.04529990255832672,11.031528584004263,0.09399787336587906,32.490360260009766,0.44084001657657984,0.3407273292541504,0.008130672371904811,0.002123455051332712,8.747446060180664,1.5603013220737727,0.05336272343993187,0.16888218328624371
regularizer_mnist,encoder_gaussian,5,150,128,0.1,5.0,0.0160186979919672,0.04516413435339928,11.127171052998165,0.06694165617227554,31.774673461914062,0.45695029861789976,0.29084476828575134,0.007987443288317622,0.0020325551740825176,9.129473686218262,1.563251379721473,0.05087563022971153,0.17018213047323502
regularizer_mnist,encoder_gaussian,6,150,128,0.1,5.0,0.016106216236948967,0.045706138014793396,11.12569558100222,0.09961361438035965,30.053739547729492,0.456202389778699,0.36418336629867554,0.007985747809399256,0.0017242509638890624,7.890614986419678,1.6032594083378076,0.05143719166517258,0.1659780056893047
regularizer_mnist,encoder_gaussian,7,150,128,0.1,5.0,0.015964247286319733,0.044699776917696,10.78026669400424,0.09508556872606277,31.8708438873291,0.4484655671893957,0.34497711062431335,0.008032824567406657,0.0017617455450817943,8.333818435668945,1.5924592649984275,0.04931439831852913,0.168170222137152
regularizer_mnist,encoder_gaussian,8,150,128,0.1,5.0,0.016214175149798393,0.04483158141374588,10.933521585997369,0.07838192582130432,30.10528564453125,0.46609703392869123,0.3208547830581665,0.008658114253675544,0.001368899131193757,8.51742172241211,1.5394207692773694,0.042127884924411774,0.17304488745070418
regularizer_mnist,encoder_gaussian,9,150,128,0.1,5.0,0.01617235690355301,0.04473838582634926,11.004424119004398,0.09347788244485855,31.86360740661621,0.4596600550204088,0.3429236114025116,0.00788538482748622,0.0017000477528199553,8.862939834594727,1.5646898323032246,0.04776465892791748,0.16408806318981214
regularizer_mnist,predictive_gaussian,0,150,128,0.1,5.0,0.019150130450725555,0.04177404195070267,10.986209702998167,0.005806561093777418,11.574252128601074,1.3019993891601704,0.12948942184448242,0.039239529413887676,0.0034495030995458364,20.832908630371094,0.9351024853161779,0.07361052185297012,0.016648270873651404
regularizer_mnist,predictive_gaussian,1,150,128,0.1,5.0,0.01874452829360962,0.0406610444188118,11.099423887004377,0.005250845104455948,11.467187881469727,1.3360900340431061,0.1288033425807953,0.033126882675502345,0.002879014005884528,20.62999153137207,0.9245019767476378,0.06578973680734634,0.019870653060946646
regularizer_mnist,predictive_gaussian,2,150,128,0.1,5.0,0.01972929947078228,0.040866125375032425,11.118655610000133,0.0058047715574502945,11.053679466247559,1.3234729298451358,0.13374662399291992,0.040318651545439343,0.003299551783129573,20.419979095458984,0.9416435481763515,0.07215862721204758,0.017193909368667458
regularizer_mnist,predictive_gaussian,3,150,128,0.1,5.0,0.01922592706978321,0.040907081216573715,10.917155967996223,0.005639185663312674,10.903693199157715,1.3077888645557334,0.13441979885101318,0.03725871112610722,0.0029306074138730764,20.943357467651367,0.9414300139217,0.06632642447948456,0.01902295699512753
regularizer_mnist,predictive_gaussian,4,150,128,0.1,5.0,0.0188706424087286,0.04100266844034195,10.614112130002468,0.005240101832896471,9.732466697692871,1.3729550329851128,0.13695424795150757,0.03915108198868811,0.004386131651699543,21.213117599487305,0.934533532920615,0.08210600912570953,0.016292241822895646
regularizer_mnist,predictive_gaussian,5,150,128,0.1,5.0,0.01920263282954693,0.04063846170902252,9.947442701995897,0.005116230808198452,10.828866958618164,1.3375118791431202,0.12774847447872162,0.039321526643316514,0.0025545184034854174,21.69337272644043,0.9380232474776088,0.06128199025988579,0.018212002307961828
regularizer_mnist,predictive_gaussian,6,150,128,0.1,5.0,0.019161367788910866,0.04110141098499298,10.548289196005499,0.004628422670066357,10.027344703674316,1.376626349609566,0.1271650493144989,0.037081418646029776,0.002430160064250231,18.52850914001465,0.9443529334757343,0.06489106267690659,0.017260552289960655
