stress,x,seed,n_train,rho,noise,shuffled,lhs,old_scale,corrected_scale,old_rhs,corrected_rhs,calibrated_c_old,calibrated_c_corrected
shuffle,96.0,7,96,1.0,1.0,1,1.792375889868425,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,8,96,1.0,1.0,1,1.6348061117412704,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,9,96,1.0,1.0,1,1.695389735197156,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,10,96,1.0,1.0,1,1.973935167876381,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,11,96,1.0,1.0,1,1.7615778916147575,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,12,96,1.0,1.0,1,1.8911627825477328,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,13,96,1.0,1.0,1,1.794442924483587,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,14,96,1.0,1.0,1,1.6299774776402978,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,15,96,1.0,1.0,1,1.5938337255337576,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,16,96,1.0,1.0,1,1.805988218322679,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,17,96,1.0,1.0,1,1.6720475408375277,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,18,96,1.0,1.0,1,1.5679020296180743,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,19,96,1.0,1.0,1,1.6402354855955643,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,20,96,1.0,1.0,1,1.718661803255882,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,21,96,1.0,1.0,1,1.789949543406992,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,22,96,1.0,1.0,1,1.660856730089653,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,23,96,1.0,1.0,1,1.7128374473118468,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,24,96,1.0,1.0,1,1.6112288906843895,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,25,96,1.0,1.0,1,1.7548009333930437,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,26,96,1.0,1.0,1,1.6886417618963234,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,27,96,1.0,1.0,1,1.7343285591768607,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,28,96,1.0,1.0,1,1.8400677696638374,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,96.0,29,96,1.0,1.0,1,1.7997878468231034,0.0,2.4957070476748155,0.0,2.0682129049383366,2.9505273848929625,0.8287082038996669
shuffle,128.0,0,128,1.0,1.0,1,1.4844811590226212,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
shuffle,128.0,1,128,1.0,1.0,1,1.4540102488354678,0.0,2.0397545006315907,0.0,1.6903612886146675,2.9505273848929625,0.8287082038996669
