experiment,method,seed,n_train,epochs,batch_size,reg_weight,cov_weight,train_mse,train_seconds,test_mse,test_rmse,fg_mse,fg_rmse,relative_mse,ssim,embedding_effective_rank,embedding_isotropy_error,embedding_gaussianity_score,predictive_effective_rank,predictive_isotropy_error,predictive_gaussianity_score,gap
regularizer_mnist_gpu,baseline,0,10000,50,256,0.08,1.0,0.00976143404841423,91.14480347600329,0.0362437441945076,0.1903778983876742,0.12793004512786865,0.3576730981327344,0.2861507487720858,0.5989516412594345,6.021629810333252,3.8831655942611634,0.10666429714343395,6.048643589019775,4.045582310529416,0.3208061323368207,0.02648231014609337
regularizer_mnist_gpu,baseline,1,10000,50,256,0.08,1.0,0.007250454276800156,76.5910070989994,0.03747163340449333,0.19357591121958675,0.13140331208705902,0.3624959476836383,0.2958451505138304,0.5988435273771939,7.003196716308594,3.481445489529615,0.16881857282446525,6.533067226409912,3.8903655594879027,0.32855402319293386,0.030221179127693176
regularizer_mnist_gpu,baseline,2,10000,50,256,0.08,1.0,0.008157440461218357,76.83687721000024,0.037053320556879044,0.1924923909064435,0.1311664879322052,0.3621691427112547,0.2925424968496996,0.6036579861531373,6.459095478057861,3.716808577951164,0.14099725080125058,5.762447834014893,4.089018440130916,0.3252292693701744,0.028895880095660686
regularizer_mnist_gpu,baseline,3,10000,50,256,0.08,1.0,0.01059598010033369,76.26066237399937,0.03612704947590828,0.19007116950213224,0.12570171058177948,0.35454437039922027,0.2852294234000233,0.5850829030461846,6.226569652557373,3.8855961056118775,0.09517078992685056,5.4575910568237305,4.219052860444875,0.31539697798366023,0.02553106937557459
regularizer_mnist_gpu,baseline,4,10000,50,256,0.08,1.0,0.008390909992158413,76.82109371099796,0.03738712891936302,0.19335751580779845,0.1295027881860733,0.3598649582636149,0.29517797270888657,0.6007433895133054,5.9785051345825195,3.866901669032014,0.13103074470733422,5.225876808166504,4.199523418967808,0.3244152361012204,0.02899621892720461
regularizer_mnist_gpu,baseline,5,10000,50,256,0.08,1.0,0.007538940291851759,76.8667380620027,0.037272706627845764,0.1930614063655545,0.13167531788349152,0.3628709383286178,0.2942745885491771,0.6132412425291689,6.91403341293335,3.44609879548177,0.18213254215127384,5.943106174468994,4.070181340713696,0.329859082062487,0.029733766335994005
regularizer_mnist_gpu,baseline,6,10000,50,256,0.08,1.0,0.010351895354688168,62.23815284999728,0.03622603788971901,0.1903313896595068,0.12508514523506165,0.35367378364117075,0.2860109543748499,0.5968234162409507,5.935708522796631,3.9557153847204334,0.10036077788245089,5.871060371398926,4.214582675079979,0.3147799878271774,0.025874142535030842
regularizer_mnist_gpu,baseline,7,10000,50,256,0.08,1.0,0.008984675630927086,52.81194265600061,0.036535028368234634,0.1911413831911725,0.12943394482135773,0.3597692938833965,0.28845048866568324,0.6015449892593491,7.221804141998291,3.562705943468849,0.13749584709973411,5.9878692626953125,3.9970113610295943,0.3253602799501625,0.02755035273730755
regularizer_mnist_gpu,baseline,8,10000,50,256,0.08,1.0,0.008246595039963722,52.679278126997815,0.03678049147129059,0.19178240657393625,0.12900075316429138,0.35916674841122387,0.29038846312986744,0.6012910534725838,6.648809909820557,3.6911693526915426,0.14127194579656221,5.92283296585083,4.063206731797547,0.32591707486733146,0.028533896431326866
regularizer_mnist_gpu,baseline,9,10000,50,256,0.08,1.0,0.008065959438681602,52.95508076700207,0.037194687873125076,0.19285924368078672,0.12871000170707703,0.35876176176827573,0.2936586167289982,0.6045386699417024,6.569443225860596,3.6217829215204453,0.15684332856204283,5.873447895050049,4.105031543072559,0.3261397234285164,0.029128728434443474
regularizer_mnist_gpu,encoder_gaussian,0,10000,50,256,0.08,1.0,0.010464097373187542,55.331397955000284,0.03615080565214157,0.19013365207701022,0.12708891928195953,0.3564953285555921,0.2854169825986711,0.6006509310199437,18.225004196166992,2.611412251776777,0.006928553300936685,8.338264465332031,3.28068981392131,0.3111587037367362,0.02568670827895403
regularizer_mnist_gpu,encoder_gaussian,1,10000,50,256,0.08,1.0,0.008288874290883541,55.504297831997974,0.03699667751789093,0.19234520404182406,0.12941120564937592,0.35973769005954315,0.2920952900729331,0.6040011605466152,18.220569610595703,2.622512637579815,0.006773592622589371,8.717987060546875,3.1633498109748013,0.3124718711190498,0.02870780322700739
regularizer_mnist_gpu,encoder_gaussian,2,10000,50,256,0.08,1.0,0.009048194624483585,55.538961550999375,0.03671792894601822,0.191619229061225,0.13047271966934204,0.36121007692109314,0.2898945209655125,0.6011500514104081,18.316003799438477,2.637493280237713,0.006732560814605954,8.524297714233398,3.1442003033775103,0.31373388425928994,0.027669734321534634
