n_train,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,population_tail_per_target_mean,population_tail_per_target_sem,population_rank_r_mse_mean,population_rank_r_mse_sem,rank_r_excess_mse_mean,rank_r_excess_mse_sem,normalized_operator_error_mean,normalized_operator_error_sem,rho_hat_mean,rho_hat_sem,sigma_at_bottleneck_rank_mean,sigma_at_bottleneck_rank_sem,sigma_after_bottleneck_rank_mean,sigma_after_bottleneck_rank_sem,oracle_sigma_at_bottleneck_rank_mean,oracle_sigma_at_bottleneck_rank_sem,oracle_sigma_after_bottleneck_rank_mean,oracle_sigma_after_bottleneck_rank_sem,retained_relative_gap_mean,retained_relative_gap_sem,retained_subspace_error_mean,retained_subspace_error_sem,retained_recovery_bound_mean,retained_recovery_bound_sem,rank_r_lipschitz_bound_mean,rank_r_lipschitz_bound_sem,unified_excess_bound_mean,unified_excess_bound_sem,unified_risk_bound_mean,unified_risk_bound_sem,rho_coverage_mean,rho_coverage_sem
512,0.3919933540313717,0.0006264916512242614,0.12109159599100434,8.532645181702635e-05,0.24400871459695,5.981596653268588e-17,0.36510031058795434,8.532645181700811e-05,0.02689304344341727,0.000629769925104445,0.2822841918131702,0.003265146133761653,0.2905512575253094,0.0,1.392107936680604,0.012455178734302979,1.1444316696810772,0.0067705745296513554,1.669931442893731,1.324018215065212e-16,0.9879447648465993,1.0852710062932742e-16,0.4083920216900367,5.3308691871508044e-17,0.40153209119332445,0.008749002848567063,2.4656260470201428,1.0958200582986983e-15,0.02928497906415637,0.0006380918757728187,0.1798257443195463,7.81768360205811e-17,0.5449260549075007,8.53264518170001e-05,0.9,0.0
1024,0.3779738419952659,0.00030837737881909147,0.12115331988060525,0.00010227315415796249,0.24400871459695,5.981596653268588e-17,0.36516203447755535,0.00010227315415797145,0.01281180751771054,0.00031434182215226287,0.1976324712335716,0.0025183122846309234,0.2062159382747962,0.0,1.479293836198004,0.008550380148186437,1.101679202803103,0.0029067023613839065,1.669931442893731,1.324018215065212e-16,0.9879447648465993,1.0852710062932742e-16,0.4083920216900367,5.3308691871508044e-17,0.28732422533171165,0.004839387699162948,1.0199818632912105,2.509966302623741e-16,0.020955445674236094,0.0003529515337918246,0.07439043644937662,1.9129210371407775e-17,0.43955247092693195,0.00010227315415796809,0.9,0.0
2048,0.3717946545785825,0.0003460117112341636,0.12114366720563244,8.321347121149092e-05,0.24400871459695,5.981596653268588e-17,0.36515238180258247,8.321347121147295e-05,0.006642272775999961,0.00038894920008260514,0.1361530991186913,0.0016513194493539044,0.1418814464268648,0.0,1.528353894826062,0.0027426875128395136,1.0710582614552635,0.002914864820964047,1.669931442893731,1.324018215065212e-16,0.9879447648465993,1.0852710062932742e-16,0.4083920216900367,5.3308691871508044e-17,0.19222409755675715,0.0026755517823826044,0.5323670412956812,1.0661738374301609e-16,0.0140194988048058,0.00019513627839627969,0.03882717720632858,7.809467432050823e-18,0.4039795590089111,8.321347121147032e-05,0.9,0.0
4096,0.3682296333997007,0.00031586220095733484,0.12134506279628418,6.51304536031048e-05,0.24400871459695,5.981596653268588e-17,0.3653537773932342,6.513045360312619e-05,0.0028758560064664498,0.0003521075870037932,0.09702119336607931,0.0007452868521675673,0.10011845297440321,0.0,1.5716145750801036,0.0027335919557990723,1.0460886434190275,0.0023099355911321276,1.669931442893731,1.324018215065212e-16,0.9879447648465993,1.0852710062932742e-16,0.4083920216900367,5.3308691871508044e-17,0.1412417841708013,0.0027422186857242957,0.3247714469700687,5.3308691871508044e-17,0.010301200783562114,0.00019999850214240974,0.023686587532489492,3.938836841393586e-18,0.3890403649257237,6.513045360312587e-05,0.9,0.0
8192,0.36677812044709895,0.00017558454918746545,0.12123797229647759,7.528126219196802e-05,0.24400871459695,5.981596653268588e-17,0.36524668689342765,7.528126219194714e-05,0.00153143355367132,0.00018669006983694508,0.06849052996736908,0.0009145857030283523,0.0719194714710523,0.0,1.6040140734546984,0.0019284596062105143,1.0299903535796937,0.0009924239925721409,1.669931442893731,1.324018215065212e-16,0.9879447648465993,1.0852710062932742e-16,0.4083920216900367,5.3308691871508044e-17,0.0964623355734399,0.0017705544287993631,0.2137454345807567,3.082410484070926e-17,0.007035296903299615,0.0001291320183780138,0.015589116571364423,2.4600746655268076e-18,0.38083580346479207,7.528126219194714e-05,0.9,0.0
16384,0.366303158607813,0.0004359693865804743,0.12129287570598565,8.131689427722827e-05,0.24400871459695,5.981596653268588e-17,0.3653015903029357,8.13168942772488e-05,0.0010015683048772578,0.0004496756145329337,0.048179958285513566,0.00031932094434598054,0.0492282021045902,0.0,1.6223849547998022,0.0012918994318844486,1.0186616582498602,0.0011458547815323017,1.669931442893731,1.324018215065212e-16,0.9879447648465993,1.0852710062932742e-16,0.4083920216900367,5.3308691871508044e-17,0.0709575697795412,0.0015328349195596923,0.1370633661302809,2.1893893302388654e-17,0.005175155338796557,0.00011179439828758497,0.009996455814176795,1.4742314757822073e-18,0.3752980461171125,8.131689427724982e-05,0.9,0.0
