experiment,seed,condition_label,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,spectrum_decay,spectrum_trace,embedding_decay,embedding_trace,subspace_operator,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,operator_error_op,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,trace_h,oracle_trace_h,entropy_gap,oracle_entropy_gap,embedding_relative_conditioning,embedding_entropy_gap,empirical_effdim,oracle_effdim,zz_hat_min_eig,zz_hat_condition,zz_pop_min_eig,zz_pop_condition,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,theorem_fixed_eval_mse,theorem_oracle_fixed_eval_mse,theorem_fixed_eval_excess_mse,theorem_fixed_eval_relative_mse,runtime_sec,gauge_type,context_law,relative_prediction_error,prediction_mse,embedding_cov_isotropy_error,expected_embedding_cov_isotropy_error,embedding_cov_expected_error,projection_gaussianity_score,method,epochs,batch_size,reg_weight,cov_weight,train_mse,train_seconds,embedding_kappa,embedding_effective_rank,embedding_isotropy_error,embedding_min_std,embedding_gaussianity_score,predictive_kappa,predictive_effective_rank,predictive_isotropy_error,predictive_min_std,predictive_gaussianity_score
k_saturation,0,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.491822276570897,2.4918222765708906,2.491822276570897,2.055275434950376,2.4918222765708906,2.491822276570897,6.217248937900877e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2315481493445012,0.2315481493445007,2.7691766762354564,2.7691766762354564,9.063973488496512,0.3055146487078697,0.3055146487078697,1.0,11.912871552533026,11.912871552533026,141.91650862715065,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,141.9165086271506,140.0234428210962,11.912871552533026,141.91650862715065,11.833150164731968,140.0234428210962,11.912871552533026,141.91650862715065,11.833150164731968,140.0234428210962,1.0,1.0,141.91650862715065,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.00643061372132,245.82254163598552,0.0143999999999989,70.44444444444952,0.0,0.0,138.0357283331005,135.6495136380642,0.0,0.0,4.583318267170162e-17,1.0000000000000024,0.4365468416205207,1.8853393683186808,26.81803219013789,0.105258868117346,0.4545873867501329,0.9286294808290568,26.71277332202055,0.9249846761931516,26.81803219013789,26.71277332202055,0.105258868117346,0.9286294808290568,0.2943202999886125,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,1,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.43500091387222,2.43500091387222,2.43500091387222,1.9839045335046968,2.43500091387222,2.43500091387222,4.440892098500626e-16,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2447691616750563,0.2447691616750563,2.976898829895789,2.976898829895789,8.856251334836179,0.3361353147449779,0.3361353147449779,1.0,12.160843128267125,12.160843128267125,147.88610559032176,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,147.8861055903217,140.0234428210962,12.160843128267125,147.88610559032176,11.833150164731968,140.0234428210962,12.160843128267125,147.88610559032176,11.833150164731968,140.0234428210962,1.0,1.0,147.88610559032176,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0065434938662862,234.3095882275092,0.0143999999999992,70.44444444444817,0.0,0.0,138.03572833309994,137.76293570860236,0.0,0.0,3.2235753946867463e-18,1.0000000000000002,0.451096380367523,1.8429461345558584,26.620500739942507,0.1074524217920362,0.4389949332534175,0.9301007606365056,26.51304831815047,0.9263464518720936,26.620500739942507,26.513048318150467,0.1074524217920398,0.9301007606365056,0.2950697999913245,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,2,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.3854987216923824,2.385498721692378,2.3854987216923824,2.0067236167334626,2.385498721692378,2.3854987216923824,4.440892098500626e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2155598859707938,0.2155598859707985,2.5515314396006614,2.5515314396006614,9.281618725131306,0.2749015570626734,0.2749015570626734,1.0,11.61800277406108,11.61800277406108,134.97798845809098,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,134.977988458091,140.0234428210962,11.61800277406108,134.97798845809098,11.833150164731968,140.0234428210962,11.61800277406108,134.97798845809098,11.833150164731968,140.0234428210962,1.0,1.0,134.97798845809098,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0064838823541004,235.4990122323468,0.0143999999999992,70.44444444444832,0.0,0.0,138.0357283330995,133.34446522939268,0.0,0.0,3.330391022125255e-17,1.0000000000000018,0.3787751049589198,1.7571687944306662,26.788156979234053,0.0710601191631568,0.329653724036499,0.9274322789952216,26.717096860070896,0.9249721079460432,26.788156979234053,26.717096860070896,0.0710601191631568,0.9274322789952216,0.2765321999904699,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,3,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.308595911801332,2.308595911801328,2.308595911801332,1.963712352027444,2.308595911801328,2.308595911801332,4.440892098500626e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2347402807194376,0.2347402807194371,2.9150323201786947,2.9150323201786947,8.918117844553272,0.32686631540298,0.32686631540298,1.0,12.386648759534353,12.386648759534353,153.42906749207393,11.833150164731968,11.833150164731968,140.02344282109615,11.833150164731968,153.42906749207395,140.02344282109615,12.386648759534353,153.42906749207393,11.833150164731968,140.02344282109615,12.386648759534353,153.42906749207393,11.833150164731968,140.02344282109615,1.0,1.0,153.42906749207393,140.02344282109615,0.0,0.0,1.0,0.0,1.0,1.0,0.0065241366095096,240.0389855170403,0.0143999999999992,70.44444444444812,0.0,0.0,138.03572833309954,140.8675432071417,0.0,0.0,3.1525303823680816e-17,1.000000000000002,0.3448835597738875,1.46921337367784,26.83016797590912,0.1009175759588743,0.4299116267969855,0.9302066663551138,26.72925039995025,0.9267078361579404,26.83016797590912,26.72925039995025,0.1009175759588743,0.9302066663551138,0.268753599957563,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,4,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.2577700074012306,2.257770007401226,2.2577700074012306,1.993164445550096,2.257770007401226,2.2577700074012306,4.440892098500626e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2609306516974354,0.2609306516974346,3.377491637598822,3.377491637598822,8.455658527133144,0.3994356710078673,0.3994356710078673,1.0,12.792155068646805,12.792155068646805,163.6392313003061,11.833150164731968,11.833150164731968,140.02344282109615,11.833150164731968,163.63923130030625,140.02344282109615,12.792155068646805,163.6392313003061,11.833150164731968,140.02344282109615,12.792155068646805,163.6392313003061,11.833150164731968,140.02344282109615,1.0,1.0,163.6392313003061,140.02344282109615,0.0,0.0,1.0,0.0,1.0,1.0,0.0064388198412414,244.3797940087717,0.0143999999999991,70.44444444444885,0.0,0.0,138.03572833309985,144.4837478365947,0.0,0.0,3.073627425226467e-17,1.000000000000002,0.2646055618511349,1.0140838576449105,26.75092403529733,0.1074348380888245,0.4117371316475383,0.9303494716915146,26.64348919720851,0.926613079456042,26.75092403529733,26.64348919720851,0.1074348380888245,0.9303494716915146,0.2910354000050574,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,5,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.4509956835255866,2.4509956835255835,2.4509956835255866,2.081430804572774,2.4509956835255835,2.4509956835255866,3.108624468950439e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2504383014224286,0.2504383014224282,3.130070814427917,3.130070814427917,8.703079350304053,0.3596509566833449,0.3596509566833449,1.0,12.46361194688116,12.46361194688116,155.34162276243873,11.83315016473197,11.83315016473197,140.02344282109624,11.83315016473197,155.34162276243885,140.02344282109624,12.46361194688116,155.34162276243873,11.83315016473197,140.02344282109624,12.46361194688116,155.34162276243873,11.83315016473197,140.02344282109624,1.0,1.0,155.34162276243873,140.02344282109624,0.0,0.0,1.0,0.0,1.0,1.0,0.0065891920663319,233.6449819656144,0.0143999999999992,70.44444444444822,0.0,0.0,138.03572833309906,140.67739669616623,0.0,0.0,2.2097540485941868e-17,1.000000000000001,0.3695648789528127,1.4756723586359388,26.846447635752074,0.1069901095663823,0.4272114487229179,0.9297033066003232,26.73945752618569,0.925998195965688,26.846447635752074,26.73945752618569,0.1069901095663823,0.9297033066003232,0.265723499993328,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,6,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.4111418374274813,2.4111418374274813,2.4111418374274813,2.009697046511388,2.4111418374274813,2.4111418374274813,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.243401485568984,0.2434014855689835,3.095615319007904,3.095615319007904,8.737534845724063,0.3542893245825306,0.3542893245825306,1.0,12.611844072513833,12.611844072513833,159.05861090940226,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,159.05861090940238,140.0234428210962,12.611844072513833,159.05861090940226,11.833150164731968,140.0234428210962,12.611844072513833,159.05861090940226,11.833150164731968,140.0234428210962,1.0,1.0,159.05861090940226,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0065049416717107,234.6431857339105,0.0143999999999992,70.44444444444804,0.0,0.0,138.03572833309954,141.95973267421212,0.0,0.0,0.0,1.0,0.4014447909160941,1.6493111781042056,26.675674494690185,0.0912056931364553,0.3747129682600326,0.9290095267891076,26.58446880155373,0.925833188817296,26.675674494690185,26.58446880155373,0.0912056931364553,0.9290095267891076,0.4034574999823235,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,7,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.344349828032251,2.3443498280322426,2.344349828032251,1.988286179054916,2.3443498280322426,2.344349828032251,8.437694987151191e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2608605393571609,0.2608605393571613,3.1037337120508,3.1037337120508,8.729416452681171,0.3555488191994222,0.3555488191994222,1.0,11.747199230040753,11.747199230040753,137.99668975027,11.83315016473197,11.83315016473197,140.02344282109624,11.83315016473197,137.9966897502699,140.02344282109624,11.747199230040753,137.99668975027,11.83315016473197,140.02344282109624,11.747199230040753,137.99668975027,11.83315016473197,140.02344282109624,1.0,1.0,137.99668975027,140.02344282109624,0.0,0.0,1.0,0.0,1.0,1.0,0.006504783630379,238.04905879253928,0.014399999999999,70.44444444444916,0.0,0.0,138.03572833309926,133.24179671083192,0.0,0.0,6.332618739345809e-17,1.0000000000000036,0.3560636489773348,1.364957880769481,26.7747734878073,0.1211519370891132,0.4644318277791955,0.9308477646065156,26.653621550718185,0.9266358145084688,26.7747734878073,26.653621550718185,0.1211519370891132,0.9308477646065156,0.3419218999915756,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,8,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.345123729866259,2.3451237298662644,2.345123729866259,2.000958188326729,2.3451237298662644,2.345123729866259,-5.329070518200751e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2428422510970259,0.2428422510970273,2.902631563622262,2.902631563622262,8.930518601109707,0.3250238528433926,0.3250238528433926,1.0,11.888516007951884,11.888516007951884,141.33681287132825,11.833150164731968,11.833150164731968,140.0234428210962,11.833150164731968,141.3368128713282,140.0234428210962,11.888516007951884,141.33681287132825,11.833150164731968,140.0234428210962,11.888516007951884,141.33681287132825,11.833150164731968,140.0234428210962,1.0,1.0,141.33681287132825,140.0234428210962,0.0,0.0,1.0,0.0,1.0,1.0,0.0063565900535019,238.77045152975305,0.0143999999999993,70.44444444444801,0.0,0.0,138.03572833309926,134.60881427677683,0.0,0.0,-3.9589313276642837e-17,0.9999999999999978,0.3441655415395299,1.4172391335724317,26.74120213968565,0.1102786639677226,0.4541164623105926,0.9291244920828146,26.63092347571793,0.925292854031864,26.74120213968565,26.63092347571793,0.1102786639677226,0.9291244920828146,0.4855766000109724,,,,,,,,,,,,,,,,,,,,,,,,,
k_saturation,9,,1024.0,8192.0,160.0,1.0,1.0,64.0,64.0,1.0,0.0,0.12,0.12,1.0,16.0,1.0,64.0,cross_cov,2.354026037711199,2.354026037711197,2.354026037711199,2.0052747263551245,2.354026037711197,2.354026037711199,1.7763568394002505e-15,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1862855806050156,0.186285580605018,2.7936220464851,2.7936220464851,9.039528118246867,0.3090451193847159,0.3090451193847159,1.0,13.342172912677492,13.342172912677492,178.013578031785,11.833150164731968,11.833150164731968,140.02344282109615,11.833150164731968,178.01357803178493,140.02344282109615,13.342172912677492,178.013578031785,11.833150164731968,140.02344282109615,13.342172912677492,178.013578031785,11.833150164731968,140.02344282109615,1.0,1.0,178.013578031785,140.02344282109615,0.0,0.0,1.0,0.0,1.0,1.0,0.0063192968652126,248.3097173288787,0.0143999999999992,70.4444444444484,0.0,0.0,138.0357283330996,152.47219411192614,0.0,0.0,1.165036582405491e-17,1.0000000000000009,0.3487513113560743,1.872132616080108,26.785031077501408,0.0568070549007408,0.3049460656924869,0.9281823831004126,26.728224022600667,0.9262138467398564,26.785031077501408,26.728224022600667,0.0568070549007408,0.9281823831004126,0.4696974999969825,,,,,,,,,,,,,,,,,,,,,,,,,
