experiment,seed,n_train,n_test,context_dim,target_dim,K,d,r_star,alpha,overlap,sigma_z,sigma_y,test_mse,ols_test_mse,rrr_test_mse,oracle_test_mse,ols_test_risk,rrr_test_risk,excess_risk_over_ols,recovered_rank,rrr_effective_rank,model_effective_rank,rank_equality_target,rank_equality_gap,oracle_rank,oracle_effective_rank,target_rank,rank_fraction,oracle_rank_fraction,subspace_error,theorem_subspace_error,cross_cov_error_op,subspace_bound_denominator,empirical_subspace_bound,empirical_subspace_bound_clipped,subspace_bound_valid,sigma_min_nonzero,sigma_top,lambda_top,oracle_sigma_min_nonzero,oracle_sigma_top,oracle_lambda_top,oracle_effective_sigma_min,lambda_het_proxy,oracle_lambda_het_proxy,sigma_at_population_rank,lambda_at_population_rank,oracle_sigma_at_population_rank,oracle_lambda_at_population_rank,sigma_at_bottleneck_rank,lambda_at_bottleneck_rank,oracle_sigma_at_bottleneck_rank,oracle_lambda_at_bottleneck_rank,relative_conditioning,oracle_relative_conditioning,empirical_effdim,oracle_effdim,spectral_tail_proxy,empirical_spectral_tail,population_spectral_energy,empirical_spectral_energy,spectral_tail_ratio,empirical_spectral_tail_ratio,excess_risk_ratio,relative_rrr_to_ols,per_target_excess_mse,per_target_risk_stability_ratio,fixed_eval_mse,fixed_eval_excess_mse,risk_stability_ratio,fixed_eval_relative_mse,oracle_fixed_eval_mse,oracle_fixed_eval_relative_mse,runtime_sec
post_saturation_legacy,0,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.079043346378395,0.079043346378395,0.079043346378395,0.0785347658387292,0.94852015654074,0.94852015654074,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.0369222566367503,0.0369222566367564,0.0776386798019901,0.0637826764353194,1.2172377225455853,1.0,1,0.1443789262980574,0.9666859467825348,0.9344817197068458,0.1414213562373096,1.0,1.0,0.1414213562373096,0.0208452743589799,0.02,0.1443789262980574,0.0208452743589799,0.1414213562373096,0.02,0.1443789262980574,0.0208452743589799,0.1414213562373096,0.02,0.0223067759586771,0.02,3.4691419422128043,3.294590284116862,0.0,0.0,3.100790855639402,3.072799650422248,0.0,0.0,0.0,1.0,0.0005085805396657,0.0137743622950568,0.6538909349345738,0.0002349020217662,0.0063620710964992,0.0589201744513721,0.6536560329128076,0.0588990081262833,0.0813135000062175
post_saturation_legacy,1,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.0791234199443673,0.0791234199443673,0.0791234199443673,0.0784895421709082,0.9494810393324088,0.9494810393324088,-1.1102230246251563e-16,12,12,12,12,0,12,12,12,1.0,1.0,0.0401721970473052,0.0401721970473217,0.0740175707235657,0.0674037855137437,1.0981218659962866,1.0,1,0.1421332062082406,0.9798728442393596,0.9601507908777324,0.1414213562373095,1.0,0.9999999999999998,0.1414213562373095,0.0202018483070342,0.02,0.1421332062082406,0.0202018483070342,0.1414213562373095,0.02,0.1421332062082406,0.0202018483070342,0.1414213562373095,0.02,0.0210402871079932,0.02,3.3394738282451084,3.294590284116863,0.0,0.0,3.100790855639401,3.065908008298544,0.0,0.0,-3.621188312304536e-17,1.0,0.0006338777734591,0.0157790168337693,0.6518050183866008,0.0002869570440888,0.0071431752600149,0.0591433791996872,0.6515180613425119,0.0591173413374526,0.0758727999927941
post_saturation_legacy,2,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.0791112716188551,0.0791112716188551,0.0791112716188551,0.0786264784297516,0.9493352594262614,0.9493352594262614,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.0341874339868686,0.0341874339868654,0.0735266230324006,0.0678947332049088,1.0829503197323804,1.0,1,0.1377662429624869,0.9568939150443329,0.9156459646488708,0.1414213562373094,0.9999999999999998,0.9999999999999996,0.1414213562373094,0.0189795376999989,0.0199999999999999,0.1377662429624869,0.0189795376999989,0.1414213562373094,0.0199999999999999,0.1377662429624869,0.0189795376999989,0.1414213562373094,0.0199999999999999,0.0207280307375975,0.0199999999999999,3.5013086539925355,3.294590284116862,0.0,0.0,3.100790855639399,3.058052629298761,0.0,0.0,0.0,0.9999999999999998,0.0004847931891034,0.0141804497316087,0.6535003264535634,0.0003925226904182,0.0114814902624465,0.058520775893018,0.6531078037631451,0.0584856255932109,0.0872521999990567
post_saturation_legacy,3,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.0792037136825781,0.0792037136825781,0.0792037136825781,0.0785569206399329,0.9504445641909374,0.9504445641909374,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.0422081519579855,0.0422081519579802,0.0696235931549054,0.0717977630824041,0.9697181383631224,0.9697181383631224,1,0.1317273705311242,0.9938545001036468,0.9877467673762698,0.1414213562373095,1.0000000000000002,1.0000000000000004,0.1414213562373095,0.0173521001470441,0.02,0.1317273705311242,0.017352100147044,0.1414213562373095,0.02,0.1317273705311242,0.017352100147044,0.1414213562373095,0.02,0.0175673570596804,0.0199999999999999,3.287775819033121,3.2945902841168606,0.0,0.0,3.100790855639393,3.084212835730764,0.0,0.0,0.0,1.0,0.0006467930426451,0.0153238891693032,0.6484221307483828,0.0002930062127827,0.006941934180734,0.0587665698078764,0.6481291245356001,0.0587400146222325,0.0809668999863788
post_saturation_legacy,4,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.0788267732077439,0.0788267732077439,0.0788267732077439,0.0782908659009803,0.9459212784929268,0.9459212784929268,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.035732228571789,0.035732228571789,0.0469752541925204,0.0944461020447889,0.4973763149086188,0.4973763149086188,1,0.1412292723724705,0.9934647706113828,0.9869722504459276,0.1414213562373094,1.0000000000000002,1.0000000000000004,0.1414213562373094,0.0199457073748574,0.0199999999999999,0.1412292723724705,0.0199457073748574,0.1414213562373094,0.0199999999999999,0.1412292723724705,0.0199457073748574,0.1414213562373094,0.0199999999999999,0.0202089849697858,0.0199999999999999,3.3045115698418828,3.294590284116861,0.0,0.0,3.100790855639404,3.0815207114617498,0.0,0.0,0.0,1.0000000000000002,0.0005359073067635,0.0149978696595121,0.6415198842559241,0.0001970215577998,0.0055138334684065,0.0579004728254797,0.6413228626981242,0.057882690615398,0.0773638999962713
post_saturation_legacy,5,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.0792549314724628,0.0792549314724627,0.0792549314724628,0.0787639280353771,0.9510591776695534,0.9510591776695534,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.0475408289950934,0.0475408289951004,0.0653314102004225,0.0760899460368868,0.8586076558491866,0.8586076558491866,1,0.1392701758077717,1.0115124694731863,1.0231574758997437,0.1414213562373094,1.0,1.0,0.1414213562373094,0.0193961818695276,0.0199999999999999,0.1392701758077717,0.0193961818695276,0.1414213562373094,0.0199999999999999,0.1392701758077717,0.0193961818695276,0.1414213562373094,0.0199999999999999,0.0189571813981723,0.0199999999999999,3.190671457745459,3.294590284116862,0.0,0.0,3.1007908556394006,3.079214227568273,0.0,0.0,0.0,1.0000000000000004,0.0004910034370856,0.0103280369203543,0.6502053884278142,0.0004543507257963,0.0095570635893451,0.0591511077324482,0.6497510377020178,0.0591097741027856,0.0790066999907139
post_saturation_legacy,6,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.0790386970084178,0.0790386970084178,0.0790386970084178,0.0785455480239864,0.9484643641010136,0.9484643641010136,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.0338679033083662,0.0338679033083564,0.0643691396936617,0.0770522165436477,0.8353963400546514,0.8353963400546514,1,0.1350405202629074,0.9938621349409678,0.9877619432694184,0.1414213562373095,1.0,0.9999999999999998,0.1414213562373095,0.0182359421128766,0.02,0.1350405202629074,0.0182359421128767,0.1414213562373095,0.02,0.1350405202629074,0.0182359421128767,0.1414213562373095,0.02,0.0184618796433046,0.02,3.3292092802735587,3.294590284116863,0.0,0.0,3.100790855639399,3.0993732229915643,0.0,0.0,0.0,1.0,0.0004931489844313,0.0145609540673785,0.6564991295506197,0.0001207024618044,0.0035639189324902,0.0592588008218248,0.6563784270888153,0.0592479056312285,0.0776916000177152
post_saturation_legacy,7,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.078833827617414,0.078833827617414,0.078833827617414,0.0783776186348587,0.9460059314089688,0.9460059314089688,-1.1102230246251563e-16,12,12,12,12,0,12,12,12,1.0,1.0,0.0396476143112074,0.0396476143112046,0.067078239794448,0.0743431164428613,0.9022790946086188,0.9022790946086188,1,0.1446909415890167,1.0144166225061475,1.0290410840167803,0.1414213562373094,1.0,0.9999999999999998,0.1414213562373094,0.0209354685779162,0.0199999999999999,0.1446909415890167,0.0209354685779162,0.1414213562373094,0.0199999999999999,0.1446909415890167,0.0209354685779162,0.1414213562373094,0.0199999999999999,0.0203446382297938,0.0199999999999999,3.1887173440079124,3.294590284116863,0.0,0.0,3.1007908556394037,3.091449059130103,0.0,0.0,-3.591270641663299e-17,1.0,0.0004562089825553,0.0115065935361052,0.6502960837818631,0.0003288073162679,0.0082932434140184,0.059131523441994,0.6499672764655952,0.0591016249418881,0.0836146000074222
post_saturation_legacy,8,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.079453426820879,0.079453426820879,0.079453426820879,0.0788876870480878,0.9534411218505487,0.9534411218505484,-2.220446049250313e-16,12,12,12,12,0,12,12,12,1.0,1.0,0.0402284179402914,0.0402284179402859,0.0647672231873422,0.0766541330499676,0.8449279981435993,0.8449279981435993,1,0.1401774849317187,1.0100835235863168,1.0202687246205495,0.1414213562373098,1.0000000000000004,1.0000000000000009,0.1414213562373098,0.0196497272817822,0.0200000000000001,0.1401774849317187,0.0196497272817822,0.1414213562373098,0.0200000000000001,0.1401774849317187,0.0196497272817822,0.1414213562373098,0.0200000000000001,0.0192593645258411,0.02,3.2621863710258343,3.2945902841168597,0.0,0.0,3.100790855639407,3.1286063442575176,0.0,0.0,-7.097236932111606e-17,0.9999999999999998,0.0005657397727912,0.0140631872133518,0.6526326372663753,0.0001411487969008,0.003508683764556,0.0591106739235295,0.6524914884694745,0.0590978897015463,0.0746180000132881
post_saturation_legacy,9,5000,8192,32,1,12,12,12,1.0,0.0,0.25,0.25,0.0784622771361684,0.0784622771361684,0.0784622771361684,0.0779124007668786,0.9415473256340212,0.9415473256340212,0.0,12,12,12,12,0,12,12,12,1.0,1.0,0.0376027046526977,0.0376027046526977,0.0569818471880015,0.0844395090493078,0.6748244729221176,0.6748244729221176,1,0.1397592034386646,1.0224022422339147,1.0453063449249365,0.1414213562373094,1.0,1.0,0.1414213562373094,0.01953263494581,0.0199999999999999,0.1397592034386646,0.01953263494581,0.1414213562373094,0.0199999999999999,0.1397592034386646,0.01953263494581,0.1414213562373094,0.0199999999999999,0.0186860388255011,0.0199999999999999,3.2087272955774444,3.2945902841168606,0.0,0.0,3.1007908556393957,3.12895501142863,0.0,0.0,0.0,1.0000000000000002,0.0005498763692897,0.0146233196353418,0.6569964090269723,0.000189664157423,0.0050438966870816,0.0591669467135317,0.6568067448695493,0.0591498661801505,0.0737359999911859
post_saturation_legacy,0,5000,8192,32,1,16,12,12,1.0,0.0,0.25,0.25,0.0764041192364308,0.0764733566445325,0.0764041192364308,0.0760382631957313,1.223573706312521,1.2224659077828932,-0.0011077985296277,12,12,12,12,0,12,12,12,1.0,1.0,0.0294622009252542,0.029462200925258,0.0747246384714978,0.2132927014389512,0.3503384690023515,0.3503384690023515,1,0.281856805173074,0.968030882064558,0.9370837886306862,0.2880173399104491,1.0,1.0,0.2880173399104491,0.0794432586223719,0.0829539880890911,0.281856805173074,0.0794432586223721,0.2880173399104491,0.0829539880890911,0.281856805173074,0.0794432586223721,0.2880173399104491,0.0829539880890911,0.0847771134088859,0.0829539880890911,3.912447505718249,3.6945902841168623,7.698936073411594e-32,0.0010775826797991,3.477261443874696,3.465192502761285,2.2140803036175232e-32,0.0003109733958331,-0.0003196932143726,0.9990946205170046,0.0003658560406994,0.0124178109309475,0.6542633955962683,0.0002019299196971,0.0068538640480191,0.0590504700739705,0.6540614656765712,0.0590322449115047,0.0770859000040218
post_saturation_legacy,1,5000,8192,32,1,16,12,12,1.0,0.0,0.25,0.25,0.0759104554484486,0.0759851760750973,0.0759104554484486,0.0754655260309681,1.2157628172015569,1.2145672871751787,-0.0011955300263781,12,12,12,12,0,12,12,12,1.0,1.0,0.03085783129784,0.0308578312978328,0.0684740719759775,0.2195432679344717,0.3118932892828004,0.3118932892828004,1,0.2896950388884211,0.9814870993472568,0.9633169261850918,0.2880173399104492,1.0,0.9999999999999998,0.2880173399104492,0.0839232155565637,0.0829539880890912,0.2896950388884211,0.0839232155565638,0.2880173399104492,0.0829539880890912,0.2896950388884211,0.0839232155565638,0.2880173399104492,0.0829539880890912,0.0871190085789469,0.0829539880890912,3.7683999819589062,3.694590284116863,6.878528352394347e-32,0.0010164090473958,3.4772614438746974,3.4709337291229527,1.9781452914652375e-32,0.0002928344724267,-0.0003444404646355,0.9990166420543032,0.0004449294174805,0.0144186872105894,0.6510699419995967,0.0001190486517482,0.0038579720849221,0.0592963646752004,0.6509508933478484,0.0592855222882112,0.0761005999811459
